$PACKAGES
TCON_5x4mm!TCON_5x4mm! TCON_5x4MM; B1
LPQF-144!LPQF-144! ADV7441ABSTZ-170; U11
SLP2510P8!SLP2510P8! RCLAMP0524P; U12
SO14-W6-P1_27!SO14-W6-P1_27! ISL83491IBZ; U13
SO8_W6_P1R27!SO8_W6_P1R27! ADM8660ARZ; U14
SOP8-W6-P1_27!SOP8-W6-P1_27! NTMS10P02R2; U15
SOP8-W6-P1_27!SOP8-W6-P1_27! NTMS10P02R2; U16
SOT-223!SOT-223! 1117-3.3V; U17
SIP2_7P5MM!SIP2_7P5MM! KC-1201; U18
SOP28_1p27!SOP28_1p27! STC12LE5620; U19
SLP2510P8!SLP2510P8! RCLAMP0524P; U2
SO-16!SO-16! SP3232EEN; U25
SOT-223!SOT-223! 1117-1.8V; U27
SOT-223!SOT-223! 1117-1.8V; U28
fbga256_opt2!fbga256_opt2! EP4CE6F17C8N; U29
SLP2510P8!SLP2510P8! RCLAMP0524P; U3
SOT-223!SOT-223! 1117-2.5V; U31
lqfp128_0p5_20x22mm!lqfp128_0p5_20x22mm! RTL8370-GR; U35
SO24!SO24! PCA9555D; U39
SLP2510P8!SLP2510P8! RCLAMP0524P; U4
TDFN-8!TDFN-8! MCP1726-ADJE/MF DNS; U44
SOJ24_1P27_17P5X15MM!SOJ24_1P27_17P5X15MM! H6062FNL; U45
SOJ24_1P27_17P5X15MM!SOJ24_1P27_17P5X15MM! H6062FNL; U46
lqfp80_0p5!lqfp80_0p5! LT86102SX; U5
SLP2510P8!SLP2510P8! RCLAMP0524P; U51
SLP2510P8!SLP2510P8! RCLAMP0524P; U53
SLP2510P8!SLP2510P8! RCLAMP0524P; U54
TSSOP14_0P65!TSSOP14_0P65! SGM8903; U56
SO8_W6_P1R27!SO8_W6_P1R27! 24LC16B; U6
SLP2510P8!SLP2510P8! RCLAMP0524P; U60
SOP-14!SOP-14! RX-8025SA; U61
SOIC8N!SOIC8N! MP2307DN; U65
SOIC8N!SOIC8N! MP2307DN; U66
SON-10!SON-10! TPS40190DRC; U67
SO8_W6_P1R27!SO8_W6_P1R27! Si4874BDY; U68
SO8_W6_P1R27!SO8_W6_P1R27! Si4874BDY; U69
SOT-223!SOT-223! 1117-3.3V; U7
SON-10!SON-10! TPS40190DRC; U70
SO8_W6_P1R27!SO8_W6_P1R27! Si4874BDY; U71
SO8_W6_P1R27!SO8_W6_P1R27! Si4874BDY; U72
TSSOP-16!TSSOP-16! AD8075ARUZ; U8
SOT363!SOT363! NC7WZ17P6X; U9
DIP2-OSC-P50!DIP2-OSC-P50! 11.0592MHz; Y1
SMD_2_5032!SMD_2_5032! 25MHZ; Y8
SMD_OSC4_5X3!SMD_OSC4_5X3! 28.63636MHz; Y9
$NETS
CHF_SD0_VOUT;  J11.83
CHG_VI_VSYNC;  J14.32
P5MDIB_N;  U35.38 C654.1 R318.2
GPIO15_0;  J16.148 R196.1 C370.1 J24.5
WAN_TX0+;  U45.23 J17.1
CHF_MIPI1/VI_Y5;  U29.E5 J11.124
TX0_DVI_DDCCLK;  R18.2 J2.T6 U12.9 U12.1,
     U5.13
P2LED2;  U35.85 R183.2
GPIO15_5;  J16.147 J24.2 R199.1 C371.1
WAN_TX0-;  U45.22 J17.2
CHF_MIPI0/VI_C5;  U29.F1 J11.114
N60761049;  FB28.2 C311.1 U31.4 U31.2
CHG_UART2_TXD;  J14.152
GPIO15_4;  J16.153 R195.1 C369.1 J24.3
WAN_TX1-;  U45.19 J17.6
N74636689;  R39.1 R38.2 Q2.1
CHF_SPI1_MOSI/I2C1_SDA;  J11.89
CHG_AC_MICBIAS;  J14.161
P3MDIB_N;  U35.9
GPIO5_5;  J16.151
LSADC_IN/GPIO11_4;  J16.183
CHF_VI_Y2;  J11.38
IR_IN/GPIO14_7;  J16.186
WAN_TX1+;  U45.20 J17.3
CHF_VI_C7;  J11.71
P2MDID_P;  U35.3 C663.1 R328.1
WAN_TX2+;  U45.17 J17.4
CHF_I2C2_SDA;  U29.P14 J11.100
TX0_DVI_DDCDATA;  R17.2 J2.T7 U12.8 U12.2,
     U5.14
CHG_SD0/GP2_1/I2S_BCLK_TX;  J14.162
P5MDIB_P;  U35.37 C656.1 R318.1
CHF_USB_DP;  J11.157
CHF_SPI1_CLK/I2C1_SCL;  J11.76
WAN_TX3+;  U45.14 J17.7
CHF_MIPI1/VI_CLK;  J11.141 U29.L6
CLK_28M_7441;  U11.66
CHG_PWM/TEMP/GP0_2;  J14.94
GPIO0_7;  J16.211
WAN_TX2-;  U45.16 J17.5
CHF_AC_LINEL;  J11.165
CHG_VO_Y5;  J14.180
P2MDID_N;  U35.4 C661.1 R328.2
GPIO0_6;  J16.208
WAN_TX3-;  U45.13 J17.8
CHF_I2C2_SCL;  U29.N14 J11.102
I2S2_BCLK_TX;  J14.45 J16.97
CHG_HI3516A_CVBS;  J14.158
P5LED1;  U35.75
CHF_UART1_CTSN;  J11.144
CHG_AC_OUTR;  J14.156
P2MDIB_P;  U35.126 C671.1 R326.1
HI3536_LAN_TX1+;  R314.1 C655.2 J16.120
CHF_VI_C5;  J11.41
ADV7441_28M;  R111.2
P1MDIB_N;  U35.116 C653.1 R310.2
HI3536_LAN_TX0-;  R313.2 C657.2 J16.122
CHF_PWM/TEMP/GP0_2;  J11.94 R133.2
FPGA_28M;  R110.2 U29.M2
CHF_VI_C0;  J11.66 U5.23
CHF_VO_Y3;  J11.178
CHF_PWM/TEMP/GP0_4;  J11.70 R135.2
P2MDIA_N;  U35.125 C673.1 R325.2
HI3536_LAN_TX0+;  R313.1 C659.2 J16.123
CHF_GP0_5;  R136.2 J11.59
CHF_SD0/GP2_4/I2S_BCLK_RX;  J11.86
N65423914;  U56.12 C504.1 R240.1 R246.1,
     R251.2
CHF_IR_IN/PWM/GP10_5;  R132.2 J11.96
CHF_AC_LINER;  J11.167
CHG_LAN_LED1;  J14.190 R145.1
P0MDIA_P;  U35.103
CHF_PWM/TEMP/GP0_3;  J11.72 R134.2
CHF_VO_C2;  J11.105
CHG_UART1_CTSN;  J14.144
HI3536_LAN_TX1-;  R314.2 C653.2 J16.119
P7MDID_N;  U35.63
P0MDIB_P;  U35.105
CHF_AC_MICBIAS;  J11.161
CHF_FPGA_STATUSN;  R130.2 R133.1 U29.F4
CHG_VO_C3;  J14.130
CHF_UART1_RTSN;  J11.136
CHF_FPGA_CONF_DONE;  U29.H14 R129.2 R132.1
PWR;  U35.66
N75657546;  J24.6 R198.2
CHF_SD0/GP2_7;  J11.168
RS232_RXD;  J10.2 FB32.2
CHF_HI3516A_CVBS;  J11.158
P5LED0;  U35.74 R189.2
CHF_VO_Y2;  J11.81
P3MDID_P;  U35.13
CHF_VO_Y1;  J11.63
CHG_VO_Y7;  J14.186
CHF_USB_PWREN;  J11.150
P2MDIC_P;  U35.1 C667.1 R327.1
CHF_AC_OUTR;  J11.156
CHG_VO_Y0;  J14.132
P5MDIC_P;  U35.40 C652.1 R319.1
RS232_TXD;  J10.3 FB31.2
CHF_MIPI0/VI_VSYNC;  J11.111
CHG_VI_C7;  J14.71
P3MDIA_N;  U35.7
CHF_VI_Y7;  J11.42
CHG_VO_Y3;  J14.178
P4LED2;  U35.79
CHF_VI_Y5;  J11.25 U11.7
+1.0V_DVDDL;  U35.20 U35.95 U35.76 U35.23,
     U35.92 U35.78 U35.22 U35.21,
     C400.1 C406.1 C402.1 C403.1,
     C399.1 C401.1 C404.1 C405.1,
     FB34.2
CHF_VI_Y0;  J11.48
P1MDIB_P;  U35.115 C655.1 R310.1
RTC_BAT;  J16.108
CHF_MIPI0/VI_C2;  U29.B1 J11.106
N74780634;  C304.2 C360.1 U11.86
CHG_VO_C4;  J14.107
+1.0V_AVDDL;  U35.107 U35.117 U35.128 U35.10,
     U35.18 U35.29 U35.39 U35.49,
     U35.59 C428.1 FB36.1 C417.1,
     C424.1 C425.1 C426.1 C427.1,
     C420.1 C421.1 C416.1 C419.1,
     C422.1 C423.1 C418.1 FB35.2,
     C431.1 FB37.1
P2MDIA_P;  U35.124 C675.1 R325.1
N60042358;  J16.9 J16.8 J16.12 J16.11,
     J16.10 FB40.2 FB41.2 C460.1,
     C462.1 C461.1
CHF_USB_OVER_CUR;  J11.153
N74780776;  C357.1 U11.92
CHG_VO_C0;  J14.52
P7MDIB_N;  U35.58
+3.3V_AVDDH;  U35.64 U35.54 U35.34 U35.24,
     U35.19 U35.15 U35.5 U35.96,
     U35.102 U35.112 C443.1 C450.1,
     C451.1 C452.1 C453.1 C446.1,
     C447.1 C442.1 C445.1 C448.1,
     C454.1 C449.1 C444.1 U44.8,
     C456.1 R211.2 FB39.2
N74780615;  C306.1 R126.1 U11.70
CHF_SPI1_CSN0/GP8_7;  J11.75
FPGA_VGA_OUT_HSYNC;  U29.N11 U9.3
CHG_SD0/GP2_6/I2S_D_RX;  J14.166
+1.0V_PLLVDDL1;  U35.44 C433.1 C432.1 FB37.2
P1MDIA_P;  U35.113 C659.1 R309.1
N74780748;  U11.102 C354.2 R127.2
CHF_VI_C6;  J11.46
FPGA_VGA_OUT_VSYNC;  U29.N9 U9.1
CHG_VI_C6;  J14.46
P5MDIA_P;  U35.35 C660.1 R317.1
N75589489;  C217.2 U25.3
CHF_MIPI1/VI_Y0;  J11.129 U29.G2
N74639406;  FB6.1 U9.6
N74780657;  C352.2 U11.85 C303.1
CHG_VI_Y2;  J14.38
P6LED0;  U35.71
CHF_VI_Y6;  J11.45 U11.8
N74780783;  C353.1 U11.90
N74639404;  FB8.1 U9.4
CHG_MIPI1_D2M;  J14.143
P3MDIC_P;  U35.11
N74780590;  C305.1 R126.2
CHF_VI_VSYNC;  J11.32
CHG_USB_DM;  J14.155
+1.0V_PLLVDDL0;  U35.122 C430.1 C429.1 FB36.2
N75589536;  C219.2 U25.2
N747806430;  C310.2 R127.1
CHF_MIPI1/VI_Y1;  U29.J6 J11.131
CHG_SD0/GP2_5/I2S_FS_RX;  J14.138
P7LED2;  U35.67
N75589523;  FB32.1 U25.13
CHF_MIPI1/VI_Y4;  J11.126 U29.F2
CHG_I2C2_SCL;  J14.102
P1LED0;  U35.89 R186.2
N75589491;  FB31.1 U25.14
CHF_VI_Y3;  J11.87
CHG_SPI1_CLK/I2C1_SCL;  J14.76
P6LED2;  U35.70
+1.0V;  C415.1 FB35.1 C398.1 FB34.1,
     C558.2 C557.1 FB59.2
N75589544;  U25.4 C218.1
CHF_SD0/GP1_1;  J11.160
CHG_SPI1_MISO/GP8_6;  J14.93
P5LED2;  U35.73
N75589484;  U25.1 C217.1
CHF_RTC_BAT;  J11.33
N74642235;  U8.1 R13.2
CHG_SPI0/I2C0/GP8_0;  J14.64
P0LED1;  U35.93
N75589538;  U25.5 C218.2
CHF_UART2_RXD;  J11.142
GPIO15_2;  J16.150 R197.1 C368.1 J24.4
N75589559;  C220.2 U25.6
CHF_SPI0/GP8_2;  J11.57
CHG_VI_Y3;  J14.87
P5MDID_P;  U35.42 C648.1 R320.1
CHF_VO_Y7;  J11.186
CHF_VI_HSYNC;  J11.40
CHG_VO_C5;  J14.58
P0MDID_P;  U35.110
LAN0_LED_LINK_75371551;  R222.1
CPU_XTALIN;  J16.125
CHF_VO_C5;  J11.58
CHG_VO_C7;  J14.65
P0LED0;  U35.94 R185.2
N69588696;  C554.1 R278.2 L6.2 FB59.1,
     C556.2 C555.1
CHF_SPI1_MISO/GP8_6;  J11.93
CHF_7441_DE;  U29.R14 U11.16
P1LED2;  U35.88 R182.2
CHF_VO_C6;  U5.6 J11.51
P1MDIA_N;  U35.114 C657.1 R309.2
LAN_SGND;  J29.14 J29.13 C474.1 FB70.1,
     J17.14 J17.13 C473.1 FB44.1
CHF_VO_Y5;  J11.180
CHG_UART1_TXD;  J14.149
P3MDIA_P;  U35.6
CHF_VI_Y4;  J11.27
P1MDIC_P;  U35.118 C651.1 R311.1
N75371689;  R224.2 U46.15
USB2_DP1;  J16.178
CHF_VI_C1;  J11.34 R5.1
CHG_VO_Y2;  J14.81
P2MDIC_N;  U35.2 C665.1 R327.2
N63282326;  R220.2 U45.24
USB2_OVRCUR0;  J16.175 R262.2
+5V_OUT;  U15.7 U15.8 U15.6 U15.5,
     J6.1 C5.1 C46.1
DGND;  J2.T22 C303.2 C352.1 C292.2,
     C252.2 C249.2 U11.69 U11.72,
     U11.130 U11.117 U11.103 U11.110,
     U11.114 U11.140 U11.126 U11.100,
     U11.120 U11.133 U11.136 J11.188,
     J11.176 J11.182 J11.164 J11.154,
     J11.170 J11.146 J11.140 R27.1,
     C317.2 C316.2 J11.74 J11.68,
     J11.62 J11.60 J11.80 J11.88,
     J11.84 J11.56 U11.143 U11.82,
     U11.83 U11.87 U8.2 C270.2,
     C269.2 C334.2 C335.2 C333.2,
     C332.2 C331.2 C18.2 C17.2,
     J2.P2 C319.2 C288.2 C287.2,
     C291.2 C290.2 C289.2 C286.2,
     C275.2 C266.2 C267.2 C268.2,
     C265.2 U11.49 U11.56 U11.64,
     J2.22 J2.19 J2.T19 U14.6,
     C15.2 C14.2 U29.L16 C304.1,
     C360.2 U31.1 C312.2 D25.2,
     C34.2 C36.2 C35.2 C284.2,
     J2.T15 J2.T3 J2.T11 J2.TC6,
     J2.TC5 R1.2 J2.3 C263.2,
     C363.1 C318.2 J2.C6 J2.15,
     C19.2 Q2.2 R138.2 J2.11,
     U8.4 C247.1 C246.2 C245.1,
     Y9.2 C285.2 C313.2 J2.C5,
     U11.22 U11.34 U11.14 C23.2,
     C25.2 C24.2 C327.2 C330.2,
     C329.2 C328.2 C326.2 U2.3,
     C309.1 C308.1 C307.2 C276.2,
     C279.2 C280.2 C277.2 U27.1,
     C38.2 C37.2 C314.2 C311.2,
     J11.24 J11.20 J11.18 J11.10,
     J11.8 J11.50 J11.36 J11.44,
     J11.30 C83.2 R137.2 J2.P3,
     C315.2 R42.1 C253.2 U1.3,
     C264.2 C84.2 C248.2 C321.2,
     C322.2 C323.2 C320.2 C26.2,
     C283.2 C281.2 U28.1 C282.2,
     C278.2 C16.2 D1.2 C336.2,
     C337.2 C338.2 C339.2 C340.2,
     C20.2 C22.2 C21.2 D2.2,
     C32.2 U29.H9 U29.G13 U29.G4,
     U29.H15 U29.H10 U29.H8 U29.H7,
     U29.H16 U29.E4 U29.E13 U29.E2,
     U29.D7 U29.D10 U29.C5 U29.B2,
     U29.B15 U29.C12 U8.6 J11.92,
     J11.116 J11.110 J11.104 J11.98,
     J2.P0 J2.P1 R26.1 R24.1,
     C343.2 C342.2 C344.2 C347.2,
     C346.2 C345.2 C341.2 C357.2,
     C353.2 J11.122 J11.134 J11.128,
     U14.3 C293.2 C296.2 C295.2,
     C294.2 U29.H12 U29.G12 U29.H13,
     C260.2 C259.2 C261.2 C262.2,
     C86.2 C85.2 R12.2 C10.2,
     C12.2 C11.2 U10.2 C13.2,
     C250.2 C325.2 C324.2 R44.2,
     J13.10 J13.2 R13.1 C33.2,
     U4.3 U3.3 J11.187 J11.73,
     J11.175 J11.181 J11.163 J11.169,
     J11.133 J11.139 J11.151 J11.145,
     J11.159 J11.127 J11.109 J11.121,
     J11.115 J11.103 J11.101 J11.97,
     J11.95 J11.91 J11.85 J11.79,
     J11.77 J11.55 J11.67 J11.61,
     J11.7 J11.9 J11.19 J11.23,
     J11.21 J11.29 J11.17 J11.35,
     J11.43 J11.49 U6.3 U6.2,
     U6.1 C9.2 U6.4 U12.3,
     U29.N2 U29.N1 U9.2 U29.R2,
     U29.J8 U29.P12 U29.N7 U29.N10,
     U29.M13 U29.K4 U29.M4 U29.K13,
     U29.J9 U29.R15 U29.P5 U29.J7,
     U29.J10 U29.E12 U29.M5 R118.1,
     C31.2 C27.2 C28.2 C29.2,
     C30.2 U7.1 U5.24 U5.26,
     U5.29 U5.35 U5.38 U5.39,
     U5.19 U5.11 U5.5 U5.4,
     U5.1 U5.68 U5.77 U5.80,
     U5.71 U5.66 U5.43 U5.41,
     U5.51 U5.55 U5.63 J14.115,
     J14.88 J14.20 J14.91 J14.9,
     J14.181 J14.109 J14.80 J14.95,
     J14.35 J14.188 J14.97 J14.175,
     J14.7 J14.84 J14.29 J14.17,
     J14.19 J14.169 J14.74 J14.103,
     J14.101 J14.68 J14.187 J14.128,
     J14.55 J14.163 J14.122 J14.182,
     J14.159 J14.62 J14.151 J14.49,
     J14.61 J14.116 J14.176 J14.8,
     J14.145 J14.21 J14.170 J14.67,
     J14.43 J14.139 J14.60 J14.110,
     J14.104 J14.164 J14.24 J14.73,
     J14.77 J14.56 J14.23 J14.98,
     J14.154 J14.36 J14.133 J14.127,
     J14.79 J14.50 J14.18 J14.146,
     J14.140 J14.10 J14.44 J14.92,
     J14.134 J14.30 J14.121 J14.85,
     D28.2 R160.1 C348.1 C351.2,
     C359.2 C350.1 C358.2 C349.2,
     C355.2 C356.2 U35.16 R172.2,
     U35.129 C367.2 R190.1 R191.1,
     C430.2 C429.2 C428.2 C417.2,
     C426.2 C425.2 C424.2 C427.2,
     C422.2 C419.2 C420.2 C421.2,
     C416.2 C423.2 C418.2 C415.2,
     C400.2 C406.2 C404.2 C401.2,
     C402.2 C403.2 C399.2 C405.2,
     C398.2 C407.2 C408.2 C433.2,
     C432.2 C431.2 C443.2 C452.2,
     C451.2 C450.2 C453.2 C448.2,
     C445.2 C446.2 C447.2 C442.2,
     C454.2 C449.2 C444.2 C441.2,
     U44.4 C455.2 R212.1 U44.9,
     C456.2 C440.2 C439.2 C438.2,
     J29.11 C478.1 C476.1 C477.1,
     C475.1 FB70.2 J16.14 J16.144,
     J16.158 J16.29 J16.176 J16.190,
     J16.44 J16.206 J16.112 J16.55,
     J16.129 J16.13 J16.143 J16.155,
     J16.27 J16.173 J16.98 J16.100,
     J16.102 J16.104 J16.189 J16.58,
     J16.41 J16.203 J16.109 J16.7,
     J16.124 J16.142 J16.61 J16.152,
     J16.25 J16.170 J16.52 J16.188,
     J16.38 J16.64 J16.201 J16.6,
     J16.126 J16.141 J16.149 J16.67,
     J16.23 J16.167 J16.185 J16.36,
     J16.200 J16.70 J16.3 J16.121,
     J16.138 J16.146 J16.20 J16.164,
     J16.73 J16.182 J16.34 J16.199,
     J16.76 J16.212 J16.118 J16.135,
     J16.17 J16.145 J16.47 J16.161,
     J16.79 J16.31 J16.179 J16.198,
     J16.81 J16.84 J16.87 J16.90,
     J16.93 J16.96 J16.209 J16.115,
     J16.132 C469.1 C471.1 C470.1,
     C472.1 J17.11 FB44.2 C460.2,
     C459.2 C458.2 C457.2 C462.2,
     C461.2 C463.2 C468.1 C467.2,
     C466.2 C465.1 C464.2 U51.3,
     U54.3 U53.3 C487.1 R234.2,
     J3.22 J3.21 J3.23 J3.5,
     J3.8 J3.11 J3.2 J3.17,
     J3.20 C514.1 C507.1 C511.1,
     R247.1 R249.1 C510.1 R251.1,
     R253.1 U56.1 U56.4 U56.10,
     U56.14 C512.2 R250.1 C508.1,
     C509.1 C515.2 D34.2 D33.2,
     C501.1 D32.2 D31.2 C502.1,
     R237.1 R238.1 J7.6 J7.3,
     C534.1 C536.1 C535.2 J23.2,
     C537.2 J23.3 C526.2 C533.2,
     J21.7 J21.1 J21.4 J5.11,
     J5.9 J5.14 J5.13 FB12.1,
     U60.3 J10.5 J10.E2 U25.15,
     C220.1 J10.E1 U13.3 U13.7,
     U13.6 C6.1 R179.2 C361.2,
     C362.2 R180.1 J22.16 C366.1,
     J22.1 U39.12 C364.2 C365.2,
     C368.2 C369.2 C370.2 J24.7,
     C371.2 M1.1 M4.1 M3.1,
     M2.1 M5.1 M6.1 BT1.2,
     U61.11 C543.1 C569.1 R282.1,
     U65.4 C568.2 C554.2 C552.2,
     R279.1 U65.9 FB67.2 C620.2,
     C622.2 C623.1 D38.1 C621.2,
     U69.2 C585.2 C577.2 C580.1,
     C576.2 C578.2 C586.2 U67.5,
     R287.1 C593.2 C595.2 C591.1,
     C572.1 C588.1 C579.1 C594.1,
     U67.11 U69.3 U69.1 C584.2,
     C560.1 U66.4 R281.1 C559.2,
     C553.2 R280.1 U66.9 C564.1,
     C561.2 C563.2 C562.2 C567.1,
     C566.2 C565.2 C558.1 C557.2,
     C556.1 C555.2 C587.2 C589.2,
     C590.2 C574.2 C575.2 U72.2,
     C609.2 C597.2 C603.1 C600.2,
     C601.2 C610.2 U70.5 R292.1,
     C619.2 C618.2 C596.1 C612.1,
     C602.1 U70.11 U72.3 U72.1,
     C608.2 C611.2 C604.2 C598.2,
     C614.2 C615.2 C616.1 C617.1,
     C624.1 FB66.2 FB65.2 C613.2,
     C592.2 C5.2 C46.2 J12.6,
     J12.4 J12.5 C1.2 C2.2,
     Q3.2 J1.2 J4.2 J6.2,
     J8.2 U17.1 C3.2 C4.2,
     Q1.2 J9.7 J9.8 M7.1,
     M8.1 M10.1 M9.1 J15.1,
     J19.4 J19.6 J19.5 J18.2,
     J20.2 U19.14 C45.2 C44.2,
     B3.2 B4.2 C7.2 R53.1
CHF_VO_C0;  J11.52
CHG_SPI0/I2C0/GP8_1;  J14.53
N75371554;  J29.9 R222.2
N75645915;  U19.19 R52.2 B4.1
CHF_VO_C4;  J11.107
CHG_SD0/GP2_2/I2S_FS_TX;  J14.78
P7MDIB_P;  U35.57
SATA_TXM0;  J16.169 C522.1
N75645589;  Q4.2
CHF_SYS_RSTN;  U29.J15 J11.31
CHG_PWM/TEMP/GP0_4;  J14.70
USB0_DN;  J12.2 J9.3
CHF_MIPI1_D2M;  J11.143
CHG_UART2_RXD;  J14.142
P5MDIC_N;  U35.41 C650.1 R319.2
N75645585;  Q4.3 R48.1
CHF_VO_CLK;  J11.99
CHG_VI_C1;  J14.34
P7MDIA_N;  U35.56
N75645297;  Q3.1 R41.2
CHF_VO_C1;  J11.54
CHG_USB_DP;  J14.157
P4MDIA_N;  U35.26
N75371609;  C474.2 R223.1 R293.1 R224.1,
     R294.1
USB2_OVRCUR1;  J16.171
N75646008;  B3.1 U19.18 R51.2
CHF_VI_CLK;  J11.90
CHG_SPI1_CSN0/GP8_7;  J14.75
N75371538;  J29.12 R221.2
SATA_TXM1;  J16.166
USB0_DP;  J12.3 J9.5
CHF_AC_OUTL;  J11.148
N74989762;  R111.1 Y9.3 R110.1
CHG_IR_IN/PWM/GP10_5;  J14.96
P7MDIC_N;  U35.61
N63024691;  R172.1 U35.17
USB3_TXM;  J16.62
N75645559;  U18.2 R48.2
CHF_VO_Y4;  J11.184
N74989715;  Y9.4 C363.2 FB33.1
P2LED1;  U35.87 R188.2
USB2_DP0;  J16.181 J5.8 U60.9 U60.1
N63282538;  U45.4 C470.2 U45.10 C471.2,
     C469.2 C472.2 U45.1 U45.7
N60042461;  J16.197 J16.191 J16.192 J16.193,
     J16.194 J16.195 J16.196 FB43.2,
     FB42.2 C466.1 C468.2 C467.1
+5V_IN;  U15.3 U15.1 U15.2 R36.1,
     J4.1 U17.3 C4.1 R47.1
CHF_VI_C4;  R119.2 J11.22
N75371697;  U46.18 R293.2
P4MDIA_P;  U35.25
BEEP;  R45.1 U19.9
CHF_MIPI0/VI_C3;  J11.108 U29.C2
P3MDIB_P;  U35.8
N75371699;  U46.21 R294.2
N75645247;  U15.4 R35.2
CHF_MIPI0/VI_C0;  U29.K6 J11.119
P7MDIA_P;  U35.55
N75662128;  BT1.1 D37.1
STC_XTAL1;  R50.1 C44.1 Y1.2 U19.7
CHF_SD0/GP2_5/I2S_FS_RX;  J11.138
CHG_RTC_BAT;  J14.33
N75371831;  U46.4 C477.2 U46.10 C476.2,
     C478.2 C475.2 U46.1 U46.7
+3.3V_RTC;  D36.2 D37.2 C543.2 U61.6
UART_RXD;  J15.2 U19.4
CHF_UART1_RXD;  J11.147
P7MDID_P;  U35.62
USB3_PWREN;  J16.54
UART_TXD;  J15.4 U19.5
CHF_SPI0/I2C0/GP8_0;  J11.64
CHG_VO_Y1;  J14.63
LAN0_LED_ACT_75371535;  R221.1
P4MDIB_N;  U35.28
N75371675;  R223.2 U46.24
SATA_RXP1;  J16.160
POWER_CTL_FROM_8168;  U19.25 J9.9
CHF_MIPI0/VI_C1;  J11.117 U29.C3
P3LED0;  U35.84 R191.2
USB2_DM1;  J16.177
N66777267;  J21.5 C523.2
+5V_USB0;  J12.1 J9.1
CHF_VO_C7;  J11.65
CHG_MIPI0/VI_HSYNC;  J14.113
USB2_PWREN0;  J16.174
+5V_USB1;  J9.2 J19.1
CHF_VI_Y1;  U11.3 J11.47
STC_XTAL2;  R50.2 C45.1 Y1.1 U19.6
CHF_UART2_TXD;  J11.152
CHG_VO_CLK;  J14.99
P2LED0;  U35.86 R187.2
USB3_OVRCUR;  J16.53
N66776747;  R257.1 D35.1
POWER_TO_8168;  U19.24 J9.10
CHF_MIPI1/VI_Y7;  J11.137 U29.F5
CHF_7441_VP7;  U11.61 U29.R1
CHG_VI_Y0;  J14.48
P4LED0;  U35.80 R190.2
SATA_RXM1;  J16.159
AOUTL;  R245.1 C510.2 FB55.1 D33.1
N66777280;  J21.2 C521.2
N75645606;  Q4.1 R45.2
CHF_7441_VP6;  U11.60 U29.T2
CHF_MIPI1/VI_Y2;  J11.120 U29.D4
P0MDIC_P;  U35.108
USB2_DM0;  J16.180 J5.7 U60.8 U60.2
AOUTR;  C509.2 R246.2 FB54.1 D34.1
+3.3V_TEST;  C609.1 L9.2 C610.1 R289.2,
     R288.2 C612.2 C608.1 C611.1,
     B2.1
N75645762;  R49.1 J18.1
CHF_SPI0/I2C0/GP8_1;  J11.53
CHF_7441_VP3;  U11.55 U29.R4
CHG_USB_OVER_CUR;  J14.153
SATA_TXP1;  J16.165
N66777269;  J21.6 C524.2
N70098041;  C626.2 C625.1 FB64.1 FB68.1,
     J26.3 J26.1 FB63.1 FB62.1
N75645602;  Q1.1 R46.2
CHF_VI_C3;  J11.26 R118.2
CHF_7441_VP4;  U29.T3 U11.58
P4LED1;  U35.81
SATA_RXM0;  J16.162 C523.1
PWR_CTR_5V;  R41.1 U19.21
CHF_7441_Y2;  U29.R7 U11.40
P1MDID_N;  U35.121 C645.1 R312.2
SATA_TXP0;  J16.168 C521.1
N66777282;  J21.3 C522.2
N75646130;  R53.2 C8.2 U19.3
CHF_7441_VP0;  U11.52 U29.T5
P4MDIB_P;  U35.27
USB3_DP;  J16.57
USB1_DP;  J9.6 J19.3
CHF_7441_C6;  U11.32 U29.T10
USB3_DM;  J16.56
POWER_KEY;  R33.1 J20.1 U19.23
CHF_7441_VP5;  U11.59 U29.R3
P1MDIC_N;  U35.119 C649.1 R311.2
IPC_LAN_TX1-;  J29.6 U46.19
USB1_DN;  J9.4 J19.2
CHF_7441_Y6;  U29.P8 U11.44
P1LED1;  U35.90
USB3_TXP;  J16.63
N75645245;  R35.1 R36.2 Q3.3
CHF_7441_C7;  U11.33 U29.R9
P3LED2;  U35.83 R184.2
IPC_LAN_TX1+;  J29.3 U46.20
USB3_RXP;  J16.60
PWR_CTR_12V;  R46.1 U19.22
CHF_7441_C4;  U29.T11 U11.30
IPC_LAN_TX3+;  J29.7 U46.14
P3MDIC_N;  U35.12
USB3_RXM;  J16.59
N75645102;  R32.1 Q1.3 R43.2
CHF_7441_C3;  U29.R11 U11.29
+5V;  U8.16 U14.8 C248.1 FB22.2,
     C247.2 C31.1 C30.1 U7.3,
     C313.1 C312.1 U31.3 C38.1,
     C37.1 U9.5 C33.1 U8.15,
     U8.11 C86.1 C85.1 R10.2,
     R6.1 R17.1 R18.1 C350.2,
     FB30.2 C351.1 FB42.1 C465.2,
     FB43.1 C463.1 C464.1 R231.2,
     R230.2 R232.2 R256.1 C536.2,
     C535.1 C526.1 J23.1 FB46.2,
     FB45.2 U39.24 C366.2 R176.1,
     R178.1 C591.2 C594.2 C590.1,
     C589.1 C592.1 B1.2
P4MDID_P;  U35.32
SATA_LED_N1;  J16.157
